item_name,quantity_type,quantity,base_cost,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR
Silan,g,100,30,151.29,22.72,6.68,0,0,0,29.39,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Silk fish,g,100,30,97.51,20.65,1.53,0,0,0,41.57,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Silver carp,g,100,30,132.65,21.71,5.17,0,0,0,19.6,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Snake gourd,g,100,2.5,12.99,0.8,0.25,1.19,2.28,0.44,4.87,0.03,0.02,0.02,2.5,0.18,0.13,4.12,0.04,0.04,0.03,0.1,0.1
Sole fish,g,100,30,87.72,19.05,1.18,0,0,0,74.57,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Soursop,unit,1,35,62.14,0.74,0.94,9.95,4.95,9.83,6.78,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
Soya bean,g,100,8,379.42,36.69,19.62,9.31,22.09,2.35,2.45,0.08,0.07,0.06,8,0.58,0.42,13.2,0.12,0.12,0.11,0.31,0.32
Soyabean oil,ml,100,15.93,0,0,100,0,0,0,0,0.17,0.14,0.12,15.93,1.15,0.84,26.28,0.23,0.23,0.21,0.62,0.63
Spinach,g,100,4,24.38,2.14,0.64,1.62,2.38,0.24,42.55,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Squid,g,100,26,79.89,16.64,1.15,0,0,0,138.28,0.27,0.23,0.2,26,1.87,1.36,42.89,0.38,0.37,0.35,1.01,1.03
Star fruit,unit,1,10,26.29,0.79,0.39,3.95,2.81,3.95,1.56,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
Stingray,g,100,30,97.51,23.98,0.68,0,0,0,64.14,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Strawberry,unit,1,15,24.62,0.97,0.56,3.66,2.5,3.56,1.19,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
Sugarcane,g,100,5,57.84,0.16,0.4,12.85,0.56,12.85,1.16,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
Sunflower oil,ml,100,18.55,0,0,100,0,0,0,0,0.2,0.17,0.14,18.55,1.33,0.97,30.59,0.27,0.27,0.25,0.72,0.73
Sunflower seeds,g,100,20,586.28,23.53,51.85,6.79,10.8,2.81,1.9,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
Sweet potato,g,100,5,108.51,1.3,0.3,23.18,3.96,3.83,29.32,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
Tamarind,g,100,15,288.48,2.92,0.15,52.88,5.31,52.88,24.92,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
Tamarind leaves,g,100,4,71.46,5.84,0.49,7.01,10.7,0.17,13.43,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Tapioca,g,100,3,79.83,1.03,0.2,17.5,4.61,2.14,10.86,0.03,0.03,0.02,3,0.22,0.16,4.95,0.04,0.04,0.04,0.12,0.12
Tarlava,g,100,30,98.95,21.72,1.2,0,0,0,67.4,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Tholam,g,100,30,103.25,20.78,2.13,0,0,0,28,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Tiger prawns,g,100,45,65.55,14.39,0.68,0,0,0,97.72,0.47,0.41,0.35,45,3.24,2.36,74.23,0.66,0.65,0.61,1.74,1.78
Tilapia,g,100,30,83.41,18.48,1.08,0,0,0,52.55,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Tinda,g,100,3,13.86,1.02,0.17,1.07,2,0.44,20.61,0.03,0.03,0.02,3,0.22,0.16,4.95,0.04,0.04,0.04,0.12,0.12
Toddy,ml,100,12,24.14,0.18,0.03,5.73,0,5.73,1.64,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
Tomato,unit,1,5,19.76,0.93,0.33,1.49,1.66,1.33,11.57,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
Tuna,g,100,30,104.33,22.89,1.28,0,0,0,37.74,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Turkey,g,100,35,159.54,21.16,8.32,0,0,0,53.48,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
Turmeric powder,g,100,16.3,280.59,7.66,5.03,45.67,21.38,1.23,24.41,0.17,0.15,0.13,16.3,1.17,0.86,26.89,0.24,0.23,0.22,0.63,0.64
Valava,g,100,30,97.99,21.8,1.06,0,0,0,91.91,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Vanaspati,g,100,10,0,0,100,0,0,0,0,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
Vanjaram,g,100,30,136.23,22.28,5.18,0,0,0,34.85,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Varagu,g,100,8,331.74,8.92,2.55,66.25,6.39,1.29,3.35,0.08,0.07,0.06,8,0.58,0.42,13.2,0.12,0.12,0.11,0.31,0.32
Vela meen,g,100,30,128.35,22.16,4.34,0,0,0,38.15,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Vora,g,100,30,100.86,20.14,2.14,0,0,0,43.66,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Walnut,g,100,120,671.37,14.92,64.27,10.05,5.39,3.22,1.33,1.26,1.08,0.94,120,8.63,6.3,197.94,1.77,1.73,1.61,4.64,4.74
Water Chestnut,g,100,6,95.6,0.86,0.37,17.88,3.02,1.95,13.08,0.06,0.05,0.05,6,0.43,0.31,9.9,0.09,0.09,0.08,0.23,0.24
Water melon,unit,1,80,18.52,0.59,0.16,3.33,0.74,3.33,1.75,0.84,0.72,0.62,80,5.76,4.2,131.96,1.18,1.15,1.08,3.1,3.16
Whale shark,g,100,30,95.84,21.83,0.82,0,0,0,116,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Wheat,g,100,3.09,334.03,10.58,0.92,58.91,9.72,1.69,2.61,0.03,0.03,0.02,3.09,0.22,0.16,5.09,0.05,0.04,0.04,0.12,0.12
Wheat flour,g,100,3.68,336.04,10.46,1.15,65.22,7.06,1.79,1.79,0.04,0.03,0.03,3.68,0.26,0.19,6.07,0.05,0.05,0.05,0.14,0.15
